title,rating_count,avg_rating
"Forrest Gump (1994)",329,4.16413
"Shawshank Redemption, The (1994)",317,4.42902
"Pulp Fiction (1994)",307,4.19707
"Silence of the Lambs, The (1991)",279,4.16129
"Matrix, The (1999)",278,4.19245
"Star Wars: Episode IV - A New Hope (1977)",251,4.23108
"Jurassic Park (1993)",238,3.75000
"Braveheart (1995)",237,4.03165
"Terminator 2: Judgment Day (1991)",224,3.97098
"Schindler's List (1993)",220,4.22500
"Fight Club (1999)",218,4.27294
"Toy Story (1995)",215,3.92093
"Star Wars: Episode V - The Empire Strikes Back (1980)",211,4.21564
"Usual Suspects, The (1995)",204,4.23775
"American Beauty (1999)",204,4.05637
"Seven (a.k.a. Se7en) (1995)",203,3.97537
"Independence Day (a.k.a. ID4) (1996)",202,3.44554
"Apollo 13 (1995)",201,3.84577
"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)",200,4.20750
"Lord of the Rings: The Fellowship of the Ring, The (2001)",198,4.10606
"Star Wars: Episode VI - Return of the Jedi (1983)",196,4.13776
"Godfather, The (1972)",192,4.28906
"Fugitive, The (1993)",190,3.99211
"Batman (1989)",189,3.42857
"Saving Private Ryan (1998)",188,4.14628
"Lord of the Rings: The Two Towers, The (2002)",188,4.02128
"Lord of the Rings: The Return of the King, The (2003)",185,4.11892
"Aladdin (1992)",183,3.79235
"Fargo (1996)",181,4.11602
"Sixth Sense, The (1999)",179,3.89385
"True Lies (1994)",178,3.49719
"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)",177,3.98305
"Lion King, The (1994)",172,3.94186
"Back to the Future (1985)",171,4.03801
"Speed (1994)",171,3.52924
"Shrek (2001)",170,3.86765
"Gladiator (2000)",170,3.93824
"Men in Black (a.k.a. MIB) (1997)",165,3.48788
"Dances with Wolves (1990)",164,3.83537
"Mission: Impossible (1996)",162,3.53704
"Ace Ventura: Pet Detective (1994)",161,3.04037
"Memento (2000)",159,4.12264
"Mask, The (1994)",157,3.18471
"Pirates of the Caribbean: The Curse of the Black Pearl (2003)",149,3.77852
"Dark Knight, The (2008)",149,4.23826
"Alien (1979)",146,3.96918
"Beauty and the Beast (1991)",146,3.77055
"Die Hard (1988)",145,3.86207
"Die Hard: With a Vengeance (1995)",144,3.55556
"Mrs. Doubtfire (1993)",144,3.38889
"Groundhog Day (1993)",143,3.94406
"Inception (2010)",143,4.06643
"Princess Bride, The (1987)",142,4.23239
"Good Will Hunting (1997)",141,4.07801
"Finding Nemo (2003)",141,3.96099
"Indiana Jones and the Last Crusade (1989)",140,4.04643
"Stargate (1994)",140,3.37500
"Titanic (1997)",140,3.41429
"Star Wars: Episode I - The Phantom Menace (1999)",140,3.10714
"Batman Forever (1995)",137,2.91606
"Monty Python and the Holy Grail (1975)",136,4.16176
"Pretty Woman (1990)",135,3.48519
"X-Men (2000)",133,3.69925
"Dumb & Dumber (Dumb and Dumber) (1994)",133,3.06015
"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)",133,4.01880
"One Flew Over the Cuckoo's Nest (1975)",133,4.20301
"GoldenEye (1995)",132,3.49621
"Monsters, Inc. (2001)",132,3.87121
"Terminator, The (1984)",131,3.89695
"Reservoir Dogs (1992)",131,4.20229
"Eternal Sunshine of the Spotless Mind (2004)",131,4.16031
"Kill Bill: Vol. 1 (2003)",131,3.96183
"Godfather: Part II, The (1974)",129,4.25969
"American History X (1998)",129,4.21705
"Babe (1995)",128,3.65234
"Goodfellas (1990)",126,4.25000
"Aliens (1986)",126,3.96429
"Truman Show, The (1998)",125,3.81200
"Incredibles, The (2004)",125,3.83600
"Blade Runner (1982)",124,4.10081
"Twister (1996)",123,3.32114
"Beautiful Mind, A (2001)",123,4.00000
"Spider-Man (2002)",122,3.54098
"E.T. the Extra-Terrestrial (1982)",122,3.76639
"Rock, The (1996)",121,3.64050
"Austin Powers: The Spy Who Shagged Me (1999)",121,3.19835
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",120,4.18333
"Ghostbusters (a.k.a. Ghost Busters) (1984)",120,3.77500
"Clockwork Orange, A (1971)",120,3.99583
"Minority Report (2002)",120,3.63750
"Ocean's Eleven (2001)",119,3.84454
"Willy Wonka & the Chocolate Factory (1971)",119,3.87395
"Fifth Element, The (1997)",116,3.74569
"Home Alone (1990)",116,2.99569
"Batman Begins (2005)",116,3.86207
"Catch Me If You Can (2002)",115,3.92174
"Waterworld (1995)",115,2.91304
"Ghost (1990)",115,3.43478
"Breakfast Club, The (1985)",113,3.77876
"Net, The (1995)",112,3.04018
"Bourne Identity, The (2002)",112,3.81696
"Green Mile, The (1999)",111,4.14865
"Jumanji (1995)",110,3.43182
"Clear and Present Danger (1994)",110,3.60455
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",110,3.83636
"Kill Bill: Vol. 2 (2004)",110,3.86818
"Donnie Darko (2001)",109,3.98165
"Interview with the Vampire: The Vampire Chronicles (1994)",109,3.45872
"Shining, The (1980)",109,4.08257
"2001: A Space Odyssey (1968)",109,3.89450
"Ferris Bueller's Day Off (1986)",109,3.83945
"Indiana Jones and the Temple of Doom (1984)",108,3.63889
"Star Trek: Generations (1994)",108,3.39352
"Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)",107,3.76168
"Apocalypse Now (1979)",107,4.21963
"Departed, The (2006)",107,4.25234
"Big Lebowski, The (1998)",106,3.92453
"Sleepless in Seattle (1993)",106,3.47170
"There's Something About Mary (1998)",105,3.67619
"Up (2009)",105,4.00476
"WALL·E (2008)",104,4.05769
"Clueless (1995)",104,3.29327
"Taxi Driver (1976)",104,4.10577
"Clerks (1994)",104,3.85577
"Crimson Tide (1995)",103,3.63592
"American Pie (1999)",103,3.37864
"Four Weddings and a Funeral (1994)",103,3.51942
"Heat (1995)",102,3.94608
"Trainspotting (1996)",102,4.03922
"Full Metal Jacket (1987)",102,4.09804
"Harry Potter and the Chamber of Secrets (2002)",102,3.59804
"Outbreak (1995)",101,3.42574
"Cliffhanger (1993)",101,3.03465
"Firm, The (1993)",101,3.53465
"Cast Away (2000)",100,3.70000
"Austin Powers: International Man of Mystery (1997)",100,3.53500
"Casablanca (1942)",100,4.24000
"V for Vendetta (2006)",100,3.88500
"Happy Gilmore (1996)",99,3.43939
"Being John Malkovich (1999)",99,3.95455
"While You Were Sleeping (1995)",98,3.46939
"L.A. Confidential (1997)",97,4.06186
"Toy Story 2 (1999)",97,3.86082
"Who Framed Roger Rabbit? (1988)",97,3.57216
