tag,tag_frequency
"In Netflix queue",131
atmospheric,41
funny,24
superhero,24
surreal,24
thought-provoking,24
sci-fi,23
Disney,23
quirky,22
religion,22
"dark comedy",21
suspense,21
psychology,21
"twist ending",20
"visually appealing",20
comedy,19
politics,19
crime,19
music,17
dark,16
action,16
"time travel",16
"high school",16
"mental illness",16
mindfuck,15
aliens,15
"black comedy",14
space,14
dreamlike,14
mafia,13
holocaust,13
Disturbing,13
shakespeare,13
emotional,13
"stephen king",13
Journalism,13
heist,13
Classic,12
anime,12
satire,12
court,12
Christmas,12
animation,11
"imdb top 250",11
"comic book",11
psychological,11
ghosts,11
Bittersweet,11
adolescence,11
adultery,11
boxing,11
drugs,10
"Leonardo DiCaprio",10
robots,10
cinematography,10
India,10
remake,10
England,10
Australia,10
Vietnam,10
philosophical,10
"will ferrell",9
revenge,9
"World War II",9
adventure,9
stylized,9
Mystery,9
murder,9
hallucinatory,9
military,9
tense,9
creepy,9
sexuality,9
racism,9
heartwarming,9
family,8
sequel,8
police,8
violence,8
divorce,8
"Coen Brothers",8
"martial arts",8
"serial killer",8
"Animal movie",8
"movie business",8
race,8
spoof,8
"New York",8
bad,8
beautiful,8
inspirational,7
clever,7
witty,7
"social commentary",7
romance,7
predictable,7
"Quentin Tarantino",7
"dark humor",7
Magic,7
"cult film",7
assassination,7
KIDNAPPING,7
prostitution,7
disability,7
Death,7
Screwball,7
Bible,7
intelligent,7
gritty,7
cerebral,7
wedding,6
fantasy,6
gothic,6
Pixar,6
"great soundtrack",6
Soundtrack,6
dystopia,6
"Visually stunning",6
future,6
"black and white",6
zombies,6
DEPRESSING,6
terrorism,6
pregnancy,6
twins,6
"hit men",6
"men in drag",6
remade,6
gambling,6
television,6
"Astaire and Rogers",6
"Nick and Nora Charles",6
business,6
philosophy,6
touching,6
"Al Pacino",5
epic,5
dogs,5
"Adam Sandler",5
"organized crime",5
stylish,5
"good dialogue",5
"Brad Pitt",5
"Ben Stiller",5
Africa,5
corruption,5
"Ryan Reynolds",5
post-apocalyptic,5
thriller,5
sarcasm,5
"Post apocalyptic",5
"based on a book",5
humorous,5
friendship,5
"artificial intelligence",5
horror,5
paranoia,5
wizards,5
samurai,5
president,5
alcoholism,5
"death penalty",5
Ireland,5
"space opera",5
marriage,5
"cross dressing",5
biopic,5
Aardman,5
"Civil War",5
amnesia,5
swashbuckler,5
homeless,5
baseball,5
sports,5
lawyers,5
Judaism,5
Dickens,5
Jason,5
"Hepburn and Tracy",5
unique,5
sad,5
fun,5
existentialism,5
poignant,5
"Martin Scorsese",4
"true story",4
"Tom Hanks",4
violent,4
marvel,4
"Steve Carell",4
"bad plot",4
"Seth Rogen",4
"Samuel L. Jackson",4
"plot holes",4
survival,4
interesting,4
controversial,4
"Crude humor",4
assassin,4
feel-good,4
"hugh jackman",4
memory,4
moving,4
"Oscar (Best Actress)",4
"Christian Bale",4
"edward norton",4
archaeology,4
"Alfred Hitchcock",4
paranoid,4
parody,4
"Jane Austen",4
"generation X",4
basketball,4
prison,4
"John Grisham",4
horses,4
"based on a TV show",4
"show business",4
priest,4
movies,4
food,4
"King Arthur",4
birds,4
demons,4
Tolkein,4
fatherhood,4
circus,4
blindness,4
immigrants,4
weird,4
melancholy,4
enigmatic,4
heartbreaking,4
loneliness,4
intense,4
"Highly quotable",3
"Tom Hardy",3
bloody,3
"Robin Williams",3
Rome,3
"Rachel Weisz",3
"ensemble cast",3
"fantasy world",3
Tolkien,3
hilarious,3
"Jim Carrey",3
sweet,3
"Liam Neeson",3
"Tim Burton",3
"multiple storylines",3
boring,3
overrated,3
"DC Comics",3
"good soundtrack",3
Dialogue,3
"love story",3
"Ben Affleck",3
hitman,3
"star wars",3
"classic sci-fi",3
irreverent,3
"alternate reality",3
brutality,3
"Christopher Nolan",3
nonlinear,3
mathematics,3
documentary,3
children,3
italy,3
awesome,3
"british comedy",3
"Bruce Willis",3
psychedelic,3
Tarantino,3
"based on a true story",3
"Steve Buscemi",3
"jack nicholson",3
"SPACE TRAVEL",3
suspenseful,3
masterpiece,3
"Robert De Niro",3
obsession,3
claustrophobic,3
"jake gyllenhaal",3
Insanity,3
Hollywood,3
writing,3
golf,3
NASA,3
"Made me cry",3
"Girl Power",3
Japan,3
football,3
Halloween,3
"Cold War",3
"Tennessee Williams",3
anti-Semitism,3
gangsters,3
dance,3
Clousseau,3
"Shakespeare sort of",3
mockumentary,3
spying,3
slasher,3
transplants,3
1970s,3
train,3
"evil children",3
motherhood,3
nightclub,3
class,3
blind,3
orphans,3
whimsical,3
books,3
photography,3
"child abuse",3
"terminal illness",3
"06 Oscar Nominated Best Movie - Animation",3
drama,3
guns,3
"Michael Cera",3
artistic,3
inspiring,3
smart,3
silly,3
"off-beat comedy",3
"great acting",3
gangster,2
"courtroom drama",2
time-travel,2
"beautiful scenery",2
"mel gibson",2
"Christina Ricci",2
"Christopher Lloyd",2
original,2
"Jude Law",2
sniper,2
"heroine in tight suit",2
cyberpunk,2
"Studio Ghibli",2
"Chris Evans",2
"Jessica Alba",2
"sexy female scientist",2
"helena bonham carter",2
"Robert Downey Jr.",2
"conspiracy theory",2
"treasure hunt",2
"bad acting",2
"bad script",2
"Charlize Theron",2
"Will Smith",2
"Anne Hathaway",2
"James Franco",2
"audience intelligence underestimated",2
"chick flick",2
"Mark Ruffalo",2
"New York City",2
"Christoph Waltz",2
"Great performances",2
Humour,2
western,2
"bad writing",2
"dark hero",2
"Keanu Reeves",2
"secret society",2
ironic,2
bromance,2
characters,2
humor,2
Batman,2
"Jared Leto",2
"space action",2
non-linear,2
widows/widowers,2
brutal,2
"great ending",2
offensive,2
"Jean Reno",2
espionage,2
"very funny",2
sentimental,2
surfing,2
narrated,2
"reciprocal spectator",2
"Jeff Bridges",2
poetic,2
cult,2
"Paul Rudd",2
quotable,2
"seen more than once",2
"Steven Spielberg",2
twist,2
"Morgan Freeman",2
heroin,2
"Nudity (Full Frontal)",2
cynical,2
apocalypse,2
"Arnold Schwarzenegger",2
"indiana jones",2
"Stanley Kubrick",2
"plot twist",2
goofy,2
scary,2
"Mental Hospital",2
"scifi cult",2
"Rob Zombie",2
"powerful ending",2
schizophrenia,2
claymation,2
"Psychological Thriller",2
"stupid ending",2
morality,2
"too long",2
Myth,2
Cambodia,2
adoption,2
theater,2
dating,2
moon,2
submarine,2
school,2
France,2
"darth vader",2
"luke skywalker",2
TV,2
coma,2
weddings,2
"Tom Clancy",2
"Edith Wharton",2
AIDs,2
radio,2
Butler,2
chess,2
"C.S. Lewis",2
babies,2
"drug abuse",2
Capote,2
"George Bernard Shaw",2
Europe,2
war,2
fugitive,2
missionary,2
Hemingway,2
"Rogers and Hammerstein",2
fish,2
1920s,2
1950s,2
"spaghetti western",2
brainwashing,2
POW,2
Nazis,2
lawyer,2
vampires,2
"personals ads",2
Shark,2
reunion,2
dinosaurs,2
"Henry James",2
Amish,2
"alternate universe",2
1980s,2
Gangs,2
Olympics,2
China,2
rasicm,2
"Ray Bradbury",2
freaks,2
"South America",2
doctors,2
"alternate endings",2
"Star Trek",2
island,2
depression,2
"Graham Greene",2
L.A.,2
"E.M. Forster",2
"figure skating",2
scandal,2
college,2
factory,2
"Nick Hornby",2
"Peter Pan",2
psychiatrist,2
ballet,2
psychopaths,2
virginity,2
"Hannibal Lecter",2
Union,2
"fairy tales",2
rape,2
"Agatha Christie",2
"violence in america",2
art,2
"music business",2
jazz,2
trains,2
retro,2
cancer,2
FBI,2
vampire,2
"Marx brothers",2
"Not available from Netflix",2
"Michael Bay",2
"James Stewart",2
eerie,2
neo-noir,2
"original plot",2
"Seann William Scott",2
teen,2
imagination,2
love,2
"M. Night Shyamalan",2
"big budget",2
"Paul Giamatti",2
"last man on earth",2
"notable soundtrack",2
"twists & turns",2
ridiculous,2
futuristic,2
"graphic design",2
"white guilt",2
complicated,2
intellectual,2
"Wall Street",2
"long shots",2
confrontational,2
reflective,2
artsy,2
"tear jerker",2
lyrical,2
downbeat,2
moody,2
romantic,2
symbolism,2
unconventional,2
tragic,2
meditative,2
bleak,2
harsh,2
surrealism,2
trippy,2
"character study",2
slick,2
understated,2
"Not Seen",2
"cult classic",2
"great dialogue",2
satirical,2
"heroic bloodshed",2
"Boxing story",1
MMA,1
"way too long",1
"Anthony Hopkins",1
britpop,1
"indie record label",1
"dumpster diving",1
Sustainability,1
"romantic comedy",1
painter,1
"black hole",1
"magic board game",1
historical,1
Medieval,1
"Oscar (Best Cinematography)",1
"sword fight",1
"Andy Garcia",1
"Francis Ford Coppola",1
"Macaulay Culkin",1
"ancient Rome",1
history,1
"Russell Crowe",1
"Ed Harris",1
"Hilary Swank",1
"Eric Bana",1
"mad scientist",1
"captain nemo",1
"Peta Wilson",1
"Sean Connery",1
"Angelina Jolie",1
"lord of the rings",1
scenic,1
Matrix,1
"meryl streep",1
"British gangster",1
confusing,1
"daniel craig",1
"Exquisite plotting.",1
"Hayao Miyazaki",1
"David Thewlis",1
"Eva Green",1
"Orlando Bloom",1
"Johnny Depp",1
"fast-paced dialogue",1
"Audrey Tautou",1
Paris,1
"cate blanchett",1
"emma thompson",1
"Maggie Gyllenhaal",1
"modern fantasy",1
"Marion Cotillard",1
"Jennifer Connelly",1
justice,1
"bad jokes",1
lion,1
narnia,1
"Tilda Swinton",1
"Stoner Movie",1
"Teen movie",1
"Adrien Brody",1
"con artists",1
"interesting characters",1
"Bill Murray",1
"Emma Stone",1
"Jesse Eisenberg",1
"Woody Harrelson",1
CGI,1
cheesy,1
DC,1
"happy ending",1
"HOT actress",1
"Justin Timberlake",1
"Mila Kunis",1
sex,1
Istanbul,1
Turkey,1
"unnecessary sequel",1
"Amy Adams",1
"daniel radcliffe",1
"zoe kazan",1
"stupid but funny",1
anti-intellectual,1
"new society",1
scifi,1
unintelligent,1
"Seth MacFarlane",1
unexplained,1
"weak plot",1
gun-fu,1
"multiple short stories",1
"short stories",1
"Dr. Strange",1
"Great villain",1
"Guardians of the Galaxy",1
MCU,1
Thanos,1
Thor,1
"Kurt Russell",1
"tension building",1
"Jennifer Lawrence",1
